pair_key,emo_conn,cau_conn,type,dis,frequency
02,,,0,2,44
0-1,,,0,-1,1044
00,,,0,0,436
由于2-3,由于,,2,-3,1
0-2,,,0,-2,161
03,,,0,3,10
由于21,由于,,2,1,1
0-3,,,0,-3,33
01,,,0,1,136
因为因为30,因为,因为,3,0,18
因为21,因为,,2,1,16
因因30,因,因,3,0,29
以以30,以,以,3,0,11
因为22,因为,,2,2,2
由于由于30,由于,由于,3,0,6
04,,,0,4,4
由1-1,,由,1,-1,4
故2-1,故,,2,-1,14
以2-3,以,,2,-3,1
0-5,,,0,-5,6
所以1-1,,所以,1,-1,4
08,,,0,8,2
以2-1,以,,2,-1,19
0-4,,,0,-4,9
以21,以,,2,1,3
由于因此3-1,由于,因此,3,-1,1
因为1-1,,因为,1,-1,4
0-6,,,0,-6,7
致2-1,致,,2,-1,4
以2-5,以,,2,-5,1
由2-1,由,,2,-1,4
以1-1,,以,1,-1,5
原来22,原来,,2,2,1
故故30,故,故,3,0,4
因2-1,因,,2,-1,32
因此1-2,,因此,1,-2,2
因此1-1,,因此,1,-1,6
0-7,,,0,-7,3
因为2-1,因为,,2,-1,27
因为2-2,因为,,2,-2,1
因此1-3,,因此,1,-3,1
致致30,致,致,3,0,2
因此2-1,因此,,2,-1,1
因2-2,因,,2,-2,4
由21,由,,2,1,1
所以2-1,所以,,2,-1,3
以2-2,以,,2,-2,1
由由30,由,由,3,0,5
因此1-4,,因此,1,-4,1
因此23,因此,,2,3,1
因1-1,,因,1,-1,2
由于2-2,由于,,2,-2,4
因为因此3-1,因为,因此,3,-1,1
原来21,原来,,2,1,3
因以3-1,因,以,3,-1,1
05,,,0,5,2
故2-2,故,,2,-2,1
012,,,0,12,1
由于2-1,由于,,2,-1,3
07,,,0,7,1
故2-4,故,,2,-4,1
由11,,由,1,1,1
因为2-3,因为,,2,-3,1
0-10,,,0,-10,1
因由3-3,因,由,3,-3,1
0-9,,,0,-9,1
因为12,,因为,1,2,1
因1-3,,因,1,-3,1
致1-1,,致,1,-1,1
因11,,因,1,1,1
因因3-2,因,因,3,-2,1
以1-2,,以,1,-2,1
