key,conn,conn_head_sem_class,frequency,conn_total_count
once+Temporal.Asynchronous.Succession,once,Temporal.Asynchronous.Succession,78,95
although+Comparison.Contrast,although,Comparison.Contrast,217,536
in fact+Expansion.Restatement.Specification,in fact,Expansion.Restatement.Specification,362,944
besides+Expansion.Conjunction,besides,Expansion.Conjunction,33,37
besides+Comparison,besides,Comparison,1,37
accordingly+Contingency.Cause.Result,accordingly,Contingency.Cause.Result,88,91
in addition+Expansion.Conjunction,in addition,Expansion.Conjunction,414,418
and+Expansion.Conjunction,and,Expansion.Conjunction,3619,4477
as a result+Contingency.Cause.Result,as a result,Contingency.Cause.Result,359,362
specifically+Expansion.Restatement.Specification,specifically,Expansion.Restatement.Specification,1136,1177
because+Contingency.Cause.Reason,because,Contingency.Cause.Reason,2705,2847
though+Comparison.Concession.Expectation,though,Comparison.Concession.Expectation,105,325
but+Comparison.Contrast,but,Comparison.Contrast,2022,4102
in other words+Expansion,in other words,Expansion,4,271
in other words+Contingency,in other words,Contingency,1,271
on the other hand+Comparison.Contrast.Opposition,on the other hand,Comparison.Contrast.Opposition,14,73
nevertheless+Comparison.Contrast,nevertheless,Comparison.Contrast,22,72
before+Temporal.Asynchronous.Precedence,before,Temporal.Asynchronous.Precedence,323,331
for example+Expansion.Instantiation,for example,Expansion.Instantiation,908,993
for instance+Expansion.Instantiation,for instance,Expansion.Instantiation,664,695
until+Contingency.Condition.General,until,Contingency.Condition.General,2,164
if+Contingency.Condition.Hypothetical,if,Contingency.Condition.Hypothetical,687,1234
previously+Temporal.Asynchronous.Succession,previously,Temporal.Asynchronous.Succession,152,157
when+Temporal.Synchrony,when,Temporal.Synchrony,606,1215
then+Temporal.Asynchronous.Precedence,then,Temporal.Asynchronous.Precedence,700,760
so+Contingency.Cause.Result,so,Contingency.Cause.Result,1052,1079
consequently+Contingency.Cause.Result,consequently,Contingency.Cause.Result,201,204
but+Comparison.Contrast.Juxtaposition,but,Comparison.Contrast.Juxtaposition,752,4102
while+Comparison.Contrast.Juxtaposition,while,Comparison.Contrast.Juxtaposition,366,1550
while+Expansion.Conjunction,while,Expansion.Conjunction,451,1550
for example+Expansion.Restatement.Specification,for example,Expansion.Restatement.Specification,78,993
in fact+Expansion.Conjunction,in fact,Expansion.Conjunction,474,944
by comparison+Comparison.Contrast.Juxtaposition,by comparison,Comparison.Contrast.Juxtaposition,144,211
while+Temporal.Synchrony,while,Temporal.Synchrony,294,1550
while+Comparison.Contrast,while,Comparison.Contrast,190,1550
thus+Contingency.Cause.Result,thus,Contingency.Cause.Result,286,297
meanwhile+Comparison.Contrast,meanwhile,Comparison.Contrast,15,655
meanwhile+Expansion.Conjunction,meanwhile,Expansion.Conjunction,287,655
as long as+Contingency.Condition.Hypothetical,as long as,Contingency.Condition.Hypothetical,9,31
